year,date,stage,course,type,distance_in_km,winner_name,country
1920,1920-07-07,6,Bayonne to Luchon,Mountain,326.0,Firmin Lambot,Bélgica
1920,1920-07-09,7,Luchon to Perpignan,Mountain,323.0,Jean Rossius,Bélgica
1920,1920-07-11,8,Perpignan to Aix-en-Provence,Flat,325.0,Louis Heusghem,Bélgica
1920,1920-07-14,9,Aix-en-Provence to Nice,Mountain,356.0,Philippe Thys,Bélgica
1920,1920-07-16,10,Nice to Grenoble,Mountain,333.0,Hector Heusghem,Bélgica
1920,1920-07-18,11,Grenoble to Gex,Mountain,362.0,Léon Scieur,Bélgica
1920,1920-07-20,12,Gex to Strasbourg,Flat,354.0,Philippe Thys,Bélgica
1920,1920-07-22,13,Strasbourg to Metz,Flat,300.0,Philippe Thys,Bélgica
1920,1920-07-24,14,Metz to Dunkerque,Flat,433.0,Félix Goethals,Francia
1920,1920-07-27,15,Dunkerque to Paris,Flat,340.0,Jean Rossius,Bélgica
1921,1921-06-26,1,Paris to Le Havre,Flat,388.0,Louis Mottiat,Bélgica
1921,1921-06-28,2,Le Havre to Cherbourg-en-Cotentin,Flat,364.0,Romain Bellenger,Francia
1921,1921-06-30,3,Cherbourg to Brest,Flat,405.0,Leon Scieur,Bélgica
1921,1921-07-02,4,Brest to Les Sables-d'Olonne,Flat,412.0,Louis Mottiat,Bélgica
1921,1921-07-04,5,Les Sables-d'Olonne to Bayonne,Flat,482.0,Louis Mottiat,Bélgica
1921,1921-07-06,6,Bayonne to Luchon,Mountain,326.0,Hector Heusghem,Bélgica
1921,1921-07-08,7,Luchon to Perpignan,Mountain,323.0,Louis Mottiat,Bélgica
1921,1921-07-10,8,Perpignan to Toulon,Flat,411.0,Luigi Lucotti,Italia
1921,1921-07-12,9,Toulon to Nice,Mountain,272.0,Firmin Lambot,Bélgica
1921,1921-07-14,10,Nice to Grenoble,Mountain,333.0,Leon Scieur,Bélgica
1921,1921-07-16,11,Grenoble to Geneva,Mountain,325.0,Félix Goethals,Francia
1921,1921-07-18,12,Geneva to Strasbourg,Flat,371.0,Honoré Barthélemy,Francia
1921,1921-07-20,13,Strasbourg to Metz,Flat,300.0,Félix Sellier,Bélgica
1921,1921-07-22,14,Metz to Dunkerque,Flat,433.0,Félix Goethals,Francia
1921,1921-07-24,15,Dunkerque to Paris,Flat,340.0,Félix Goethals,Francia
1922,1922-06-25,1,Paris to Le Havre,Flat,388.0,Robert Jacquinot,Francia
1922,1922-06-27,2,Le Havre to Cherbourg-en-Cotentin,Flat,364.0,Romain Bellenger,Francia
1922,1922-06-29,3,Cherbourg to Brest,Flat,405.0,Robert Jacquinot,Francia
1922,1922-07-01,4,Brest to Les Sables d'Olonne,Flat,412.0,Philippe Thys,Bélgica
1922,1922-07-03,5,Les Sables d'Olonne to Bayonne,Flat,482.0,Jean Alavoine,Francia
1922,1922-07-05,6,Bayonne to Luchon,Mountain,326.0,Jean Alavoine,Francia
1922,1922-07-07,7,Luchon to Perpignan,Mountain,323.0,Jean Alavoine,Francia
1922,1922-07-09,8,Perpignan to Toulon,Flat,411.0,Philippe Thys,Bélgica
1922,1922-07-11,9,Toulon to Nice,Mountain,284.0,Philippe Thys,Bélgica
1922,1922-07-13,10,Nice to Briançon,Mountain,274.0,Philippe Thys,Bélgica
1922,1922-07-15,11,Briançon to Geneva,Mountain,260.0,Emile Masson,Bélgica
1922,1922-07-17,12,Geneva to Strasbourg,Flat,371.0,Emile Masson,Bélgica
