year,rank,rider_name,country,team,rider_total_time
1912,41,Maurice Lartigue,Francia,,
1913,1,Philippe Thys,Bélgica,Peugeot,712440.0
1913,2,Gustave Garrigou,Francia,Peugeot,712957.0
1913,3,Marcel Buysse,Bélgica,Peugeot,725095.0
1913,4,Firmin Lambot,Bélgica,Griffon,727605.0
1913,5,François Faber,Luxemburgo,Peugeot,735604.0
1913,6,Alfons Spiessens,Bélgica,J.B. Louvet,741112.0
1913,7,Eugène Christophe,Francia,Peugeot,763235.0
1913,8,Camillo Bertarelli,Italia,,771338.0
1913,9,Joseph Vandaele,Bélgica,J.B. Louvet,772433.0
1913,10,Emile Engel,Francia,Peugeot,773194.0
1913,11,Louis Trousselier,Francia,J.B. Louvet,777913.0
1913,12,Jules Deloffre,Francia,,779131.0
1913,13,Clemente Canepari,Italia,J.B. Louvet,781513.0
1913,14,Paul Deman,Bélgica,Automoto,782462.0
1913,15,Vincent Dhulst,Francia,,785052.0
1913,16,Louis Petitjean,Bélgica,,791667.0
1913,17,Paul Hostein,Francia,Peugeot,804906.0
1913,18,Maurice Leliaert,Bélgica,,807145.0
1913,19,Jean Alavoine,Francia,Peugeot,812267.0
1913,20,Giuseppe Contesini,Italia,,822694.0
1913,21,Louis Coolsaet,Bélgica,,826850.0
1913,22,Achille De Smet,Bélgica,,909487.0
1913,23,Charles Dumont,Suiza,,944875.0
1913,24,Celidonio Morini,Italia,,987947.0
1913,25,Henri Alavoine,Francia,,989392.0
1914,1,Philippe Thys,Bélgica,Peugeot–Wolber,721728.0
1914,2,Henri Pélissier,Francia,Peugeot–Wolber,721838.0
1914,3,Jean Alavoine,Francia,Peugeot–Wolber,723941.0
1914,4,Jean Rossius,Bélgica,Alcyon–Soly,728753.0
1914,5,Gustave Garrigou,Francia,Peugeot–Wolber,732549.0
1914,6,Emile Georget,Francia,Peugeot–Wolber,733787.0
1914,7,Alfons Spiessens,Bélgica,J.B. Louvet–Continental,735763.0
1914,8,Firmin Lambot,Bélgica,Peugeot–Wolber,740262.0
1914,9,François Faber,Luxemburgo,Peugeot–Wolber,744281.0
1914,10,Louis Heusghem,Bélgica,Peugeot–Wolber,749870.0
1914,11,Eugène Christophe,Francia,Peugeot–Wolber,752446.0
1914,12,Ernest Paul,Francia,Delage–Continental,756699.0
1914,13,Oscar Egg,Suiza,Peugeot–Wolber,757768.0
1914,14,Léon Scieur,Bélgica,Thoman–Joly,757878.0
1914,15,Camille Botte,Bélgica,,758601.0
1914,16,Angelo Erba,Italia,Alleluia–Continental,762610.0
1914,17,Donald Kirkham,Australia,Phebus–Dunlop,764547.0
1914,18,Hector Tiberghien,Bélgica,Delage–Continental,766329.0
1914,19,Jacques Coomans,Bélgica,Thoman–Joly,766383.0
1914,20,Iddo Munro,Australia,Phebus–Dunlop,767025.0
1914,21,Charles Charron,Francia,Delage–Continental,768491.0
1914,22,Henri Devroye,Bélgica,Armor–Soly,769862.0
1914,23,Maurice Brocco,Francia,Gladiator–Dunlop,774084.0
1914,24,Julien Tuytten,Bélgica,,774302.0
1914,25,Vincenzo Borgarello,Italia,Clement–Dunlop,776829.0
1914,26,Louis Petitjean,Bélgica,Delage–Continental,778052.0
1914,27,Jules Nempon,Francia,J.B. Louvet–Continental,781303.0
1914,28,René Vandenberghe,Bélgica,J.B. Louvet–Continental,783235.0
1914,29,Marcel Baumler,Francia,Peugeot–Wolber,783403.0
1914,30,Marcel Godivier,Francia,Gladiator–Dunlop,787665.0
1914,31,Paul Duboc,Francia,Automoto,788660.0
1914,32,Pierre Everaerts,Bélgica,,791392.0
1914,33,Ottavio Pratesi,Italia,,795628.0
1914,34,Constant Ménager,Francia,Gladiator–Dunlop,797253.0
1914,35,Charles Cruchon,Francia,Gladiator–Dunlop,797624.0
1914,36,Jules Deloffre,Francia,,801123.0
1914,37,Camillo Bertarelli,Italia,Alleluia–Continental,805034.0
1914,38,Louis Trousselier,Francia,Automoto,807198.0
1914,39,Adrien Alpini,Italia,,816010.0
1914,40,Gaston Degy,Francia,Automoto,826482.0
1914,41,Raymond Harquet,Francia,Alleluia–Continental,829973.0
1914,42,Louis Engel,Francia,Delage–Continental,832996.0
1914,43,Emile Guyon,Suiza,,833038.0
1914,44,Mario Spinelli,Italia,,848543.0
1914,45,Charles Kippert,Francia,Gladiator–Dunlop,851091.0
1914,46,Charles Dumont,Suiza,,857479.0
1914,47,René Cottrel,Francia,,857479.0
1914,48,Sante Goi,Italia,,909860.0
1914,49,Emilio Cuchetti,Italia,,935344.0
1914,50,Gaston Neboux,Francia,,937669.0
1914,51,Henri Allard,Bélgica,,965712.0
1914,52,Henri Alavoine,Francia,,984249.0
1914,53,Marcel Rottie,Francia,,1024318.0
1914,54,Henri Leclerc,Francia,,1078413.0
1919,1,Firmin Lambot,Bélgica,,832035.0
1919,2,Jean Alavoine,Francia,,838209.0
1919,3,Eugène Christophe,Francia,,840826.0
1919,4,Léon Scieur,Bélgica,,842370.0
1919,5,Honoré Barthélemy,Francia,,847297.0
1919,6,Jacques Coomans,Bélgica,,887329.0
1919,7,Luigi Lucotti,Italia,,889707.0
1919,8,Joseph Van Daele,Bélgica,,898217.0
1919,9,Alfred Steux,Bélgica,,905776.0
1919,10,Jules Nempon,Francia,,910287.0
1920,1,Philippe Thys,Bélgica,,832035.0
1920,2,Hector Heusghem,Bélgica,,835476.0
1920,3,Firmin Lambot,Bélgica,,838010.0
1920,4,Leon Scieur,Bélgica,,838333.0
1920,5,Émile Masson,Bélgica,,842647.0
1920,6,Louis Heusghem,Bélgica,,845282.0
1920,7,Jean Rossius,Bélgica,,845830.0
1920,8,Honore Barthelemy,Francia,,852154.0
1920,9,Félix Goethals,Francia,,865822.0
1920,10,Joseph Vandaele,Bélgica,,870776.0
1920,11,Eugène Dhers,Francia,,872544.0
1920,12,Joseph Pelletier,Francia,,904307.0
1920,13,Théo Wynsdau,Bélgica,,922877.0
1920,14,Noel Amenc,Francia,,952382.0
1920,15,Joseph Muller,Francia,,953768.0
1920,16,Henri Ferrera,Francia,,956382.0
1920,17,Guglielmo Ceccherelli,Italia,,1007270.0
1920,18,Marius Matheron,Francia,,1016299.0
1920,19,Etienne Dorfeuille,Francia,,1023435.0
1920,20,Pierre Hudsyn,Bélgica,,1032237.0
1920,21,André Coutte,Francia,,1033501.0
1920,22,Charles Raboisson,Francia,,1080440.0
1921,1,Leon Scieur,Bélgica,,798626.0
1921,2,Hector Heusghem,Bélgica,,799742.0
1921,3,Honore Barthelemy,Francia,,805886.0
1921,4,Luigi Lucotti,Italia,,808184.0
1921,5,Hector Tiberghien,Bélgica,,815025.0
1921,6,Victor Lenaers,Bélgica,,816229.0
1921,7,Leon Despontin,Bélgica,,816740.0
1921,8,Camile Leroy,Bélgica,,827213.0
1921,9,Firmin Lambot,Bélgica,,829011.0
1921,10,Félix Goethals,Francia,,829972.0
1921,11,Louis Mottiat,Bélgica,,830510.0
1921,12,Eugène Dhers,Francia,,833702.0
1921,13,Henri Ferrara,Francia,,841730.0
1921,14,Noel Amenc,Francia,,844069.0
1921,15,Joseph Muller,Francia,,845374.0
1921,16,Félix Sellier,Bélgica,,848831.0
1921,17,Henri Colle,Suiza,,852768.0
1921,18,Enrico Sala,Italia,,867584.0
1921,19,Guglielmo Ceccherelli,Italia,,880778.0
1921,20,Auguste Meyer,Francia,,881049.0
1921,21,Benjamin Javaux,Bélgica,,890160.0
1921,22,Pierre Hudsyn,Bélgica,,891850.0
1921,23,Joseph Normand,Francia,,896166.0
1921,24,Etienne Dorfeuille,Francia,,896290.0
1921,25,Charles Raboisson,Francia,,899278.0
1921,26,Jules Deloffre,Francia,,910814.0
1921,27,Ernest Paul,Francia,,915420.0
1921,28,Edgard Roy,Francia,,916421.0
1921,29,Charles Parel,Suiza,,922774.0
1921,30,Paul Coppens,Francia,,924051.0
1921,31,Jean Kienlen,Francia,,929312.0
1921,32,Lucien Pothier,Francia,,948937.0
1921,33,Lucien Rocquebert,Francia,,977271.0
1921,34,Robert Constantin,Francia,,1004285.0
1921,35,Charles Cento,Francia,,1006547.0
1921,36,Georges Kamm,Francia,,1007435.0
1921,37,Adrien Alpini,Francia,,1016716.0
1921,38,Henri Catelan,Francia,,1023023.0
1922,1,Firmin Lambot,Bélgica,,799686.0
1922,2,Jean Alavoine,Francia,,802161.0
1922,3,Félix Sellier,Bélgica,,802208.0
1922,4,Hector Heusghem,Bélgica,,802322.0
1922,5,Victor Lenaers,Bélgica,,802418.0
1922,6,Hector Tiberghien,Bélgica,,804581.0
1922,7,Léon Despontin,Bélgica,,808355.0
1922,8,Eugène Christophe,Francia,,812025.0
1922,9,Jean Rossius,Bélgica,,812052.0
1922,10,Gaston Degy,Francia,,813439.0
1922,11,Federico Gay,Italia,,813605.0
1922,12,Emile Masson,Bélgica,,814107.0
1922,13,Arsène Alancourt,Francia,,818942.0
1922,14,Philippe Thys,Bélgica,,820624.0
1922,15,Joseph Pelletier,Francia,,820895.0
1922,16,Joseph Muller,Francia,,827969.0
1922,17,Giuseppe Santhia,Italia,,831941.0
1922,18,Théophile Beeckman,Bélgica,,834518.0
1922,19,Louis Heusghem,Bélgica,,835120.0
1922,20,Jules Nempon,Francia,,843602.0
