year,rank,rider_name,country,team,rider_total_time
1968,44,Herbert Wilde,Alemania,Germany,486089.0
1968,45,Christian Raymond,Francia,France A,486169.0
1968,46,Daniel Van Rijckeghem,Bélgica,Belgium A,486193.0
1968,47,Jean Monteyne,Bélgica,Belgium B,486483.0
1968,48,Serge Bolley,Francia,France B,486537.0
1968,49,Marcel Maes,Bélgica,Belgium A,486693.0
1968,50,Anatole Novak,Francia,France A,487420.0
1968,51,Erik De Vlaeminck,Bélgica,Belgium B,487644.0
1968,52,Eric Leman,Bélgica,Belgium B,487830.0
1968,53,Edward Weckx,Bélgica,Belgium A,487859.0
1968,54,Victor Nuelant,Bélgica,Belgium B,487976.0
1968,55,Eddy Beugels,Países Bajos,Netherlands,488043.0
1968,56,Evert Dolman,Países Bajos,Netherlands,488192.0
1968,57,Willy In' t Ven,Bélgica,Belgium A,488231.0
1968,58,Jean-Marie Leblanc,Francia,France B,488358.0
1968,59,Jean-Louis Bodin,Francia,France C,488372.0
1968,60,Remy Van Vreckom,Bélgica,Belgium B,488454.0
1968,61,Mino Denti,Italia,Italy,488789.0
1968,62,Vic Denson,Reino Unido,Great Britain,490391.0
1968,63,John Clarey,Reino Unido,Great Britain,491590.0
1969,1,Eddy Merckx,Bélgica,Faema,418562.0
1969,2,Roger Pingeon,Francia,Peugeot–BP–Michelin,419636.0
1969,3,Raymond Poulidor,Francia,Mercier–BP–Hutchinson,419895.0
1969,4,Felice Gimondi,Italia,Salvarani,420326.0
1969,5,Andrés Gandarias,España,Kas–Kaskol,420546.0
1969,6,Marinus Wagtmans,Países Bajos,Willem II–Gazelle,420599.0
1969,7,Pierfranco Vianelli,Italia,Molteni,421122.0
1969,8,Joaquim Agostinho,Portugal,Frimatic–de Gribaldy–Viva–Wolber,421646.0
1969,9,Désiré Letort,Francia,Peugeot–BP–Michelin,421663.0
1969,10,Jan Janssen,Países Bajos,Bic,421738.0
1969,11,Joaquim Galera,España,Fagor,421849.0
1969,12,Lucien Van Impe,Bélgica,Sonolor–Lejeune,421939.0
1969,13,Jean-Claude Theillière,Francia,Sonolor–Lejeune,422460.0
1969,14,Wladimiro Panizza,Italia,Salvarani,422478.0
1969,15,Eddy Schutz,Luxemburgo,Molteni,422580.0
1969,16,Jean Dumont,Francia,Peugeot–BP–Michelin,422607.0
1969,17,Paul Gutty,Francia,Frimatic–de Gribaldy–Viva–Wolber,422647.0
1969,18,Herman Van Springel,Bélgica,Dr. Mann–Grundig,422773.0
1969,19,Eduardo Castelló,España,Kas–Kaskol,423006.0
1969,20,Michele Dancelli,Italia,Molteni,423218.0
1969,21,Francisco Galdós,España,Kas–Kaskol,423226.0
1969,22,José-Manuel Lopez-Rodriguez,España,Fagor,423442.0
1969,23,Martin Vandenbossche,Bélgica,Faema,423490.0
1969,24,Francisco Gabica,España,Fagor,423861.0
1969,25,Bernard Labourdette,Francia,Mercier–BP–Hutchinson,423965.0
1969,26,André Zimmermann,Francia,Sonolor–Lejeune,424198.0
1969,27,Wilfried David,Bélgica,Flandria–De Clerck–Krüger,424353.0
1969,28,Jozef Spruyt,Bélgica,Faema,424690.0
1969,29,Victor Van Schil,Bélgica,Faema,425110.0
1969,30,Lucien Aimar,Francia,Bic,425339.0
1969,31,André Bayssiere,Francia,Peugeot–BP–Michelin,425640.0
1969,32,Derek Harrison,Reino Unido,Frimatic–de Gribaldy–Viva–Wolber,425666.0
1969,33,André Poppe,Bélgica,Dr. Mann–Grundig,425761.0
1969,34,Stéphane Abrahamian,Francia,Sonolor–Lejeune,425858.0
1969,35,Maurice Izier,Francia,Frimatic–de Gribaldy–Viva–Wolber,426058.0
1969,36,Dino Zandegù,Italia,Salvarani,426210.0
1969,37,Raymond Delisle,Francia,Peugeot–BP–Michelin,426299.0
1969,38,Domingo Perurena,España,Fagor,426675.0
1969,39,Franco Balmamion,Italia,Salvarani,426687.0
1969,40,Edward Janssens,Bélgica,Mercier–BP–Hutchinson,426711.0
1969,41,Santiago Lazcano,España,Kas–Kaskol,426815.0
1969,42,Christian Raymond,Francia,Peugeot–BP–Michelin,426858.0
1969,43,Giancarlo Ferretti,Italia,Salvarani,427231.0
1969,44,Roger Swerts,Bélgica,Faema,427341.0
1969,45,Gilbert Bellone,Francia,Bic,427344.0
1969,46,Jean-Claude Lebaube,Francia,Frimatic–de Gribaldy–Viva–Wolber,427571.0
1969,47,Manuel Galera,España,Fagor,427644.0
1969,48,Jean Vidament,Francia,Mercier–BP–Hutchinson,427759.0
1969,49,Evert Dolman,Países Bajos,Willem II–Gazelle,427779.0
1969,50,Bernard Guyot,Francia,Sonolor–Lejeune,428203.0
1969,51,Roberto Poggiali,Italia,Salvarani,428239.0
1969,52,Wilfried Peffgen,Alemania,Salvarani,428332.0
1969,53,Roland Berland,Francia,Bic,428389.0
1969,54,Francis Rigon,Francia,Frimatic–de Gribaldy–Viva–Wolber,428407.0
1969,55,Robert Bouloux,Francia,Peugeot–BP–Michelin,428419.0
1969,56,Georges Vandenberghe,Bélgica,Faema,428419.0
1969,57,Ferdinand Bracke,Bélgica,Peugeot–BP–Michelin,428490.0
1969,58,José Gomez-Lucas,España,Kas–Kaskol,428534.0
1969,59,Pietro Scandelli,Italia,Faema,428564.0
1969,60,Jaak De Boever,Bélgica,Flandria–De Clerck–Krüger,428593.0
1969,61,Nemesio Jimenez,España,Kas–Kaskol,428641.0
1969,62,Jean-Louis Bodin,Francia,Frimatic–de Gribaldy–Viva–Wolber,428734.0
1969,63,Cees Haast,Países Bajos,Willem II–Gazelle,428831.0
1969,64,Juul Van der Flaas,Bélgica,Willem II–Gazelle,428866.0
1969,65,Gerben Karstens,Países Bajos,Peugeot–BP–Michelin,428899.0
1969,66,José Catieau,Francia,Sonolor–Lejeune,428988.0
1969,67,Barry Hoban,Reino Unido,Mercier–BP–Hutchinson,429004.0
1969,68,Jean-Pierre Genet,Francia,Mercier–BP–Hutchinson,429017.0
1969,69,Mario Anni,Italia,Molteni,429020.0
1969,70,Edouard Delberghe,Francia,Sonolor–Lejeune,429120.0
1969,71,Michael Wright,Reino Unido,Bic,429169.0
1969,72,Julien Stevens,Bélgica,Faema,429340.0
1969,73,Giacinto Santambrogio,Italia,Molteni,429449.0
1969,74,Michel Coulon,Bélgica,Flandria–De Clerck–Krüger,429723.0
1969,75,Paul In' t Ven,Bélgica,Dr. Mann–Grundig,419344.0
1969,76,Frans Mintjens,Bélgica,Faema,429788.0
1969,77,Guido Reybrouck,Bélgica,Faema,429842.0
1969,78,Harm Ottenbros,Países Bajos,Willem II–Gazelle,429852.0
1969,79,Eric Leman,Bélgica,Flandria–De Clerck–Krüger,430095.0
1969,80,Raymond Riotte,Francia,Mercier–BP–Hutchinson,430119.0
1969,81,Pietro Guerra,Italia,Salvarani,430315.0
1969,82,Marc De Block,Bélgica,Flandria–De Clerck–Krüger,430637.0
1969,83,Eddy Beugels,Países Bajos,Mercier–BP–Hutchinson,430674.0
1969,84,Roger Cooreman,Bélgica,Dr. Mann–Grundig,431439.0
1969,85,Pierre Matignon,Francia,Frimatic–de Gribaldy–Viva–Wolber,432085.0
1969,86,André Wilhelm,Francia,Sonolor–Lejeune,432475.0
1970,1,Eddy Merckx,Bélgica,Faemino–Faema,430309.0
1970,2,Joop Zoetemelk,Países Bajos,Flandria–Mars,431070.0
1970,3,Gösta Pettersson,Suecia,Ferretti,431263.0
1970,4,Martin Vandenbossche,Bélgica,Molteni,431442.0
1970,5,Rini Wagtmans,Países Bajos,Willem II–Gazelle,431503.0
1970,6,Lucien Van Impe,Bélgica,Sonolor–Lejeune,431543.0
1970,7,Raymond Poulidor,Francia,Fagor–Mercier–Hutchinson,431544.0
1970,8,Antoon Houbrechts,Bélgica,Salvarani,431603.0
1970,9,Francisco Galdós,España,Kas–Kaskol,431614.0
1970,10,Georges Pintens,Bélgica,Dr. Mann–Grundig,431712.0
1970,11,Raymond Delisle,Francia,Peugeot–BP–Michelin,431748.0
1970,12,Franco Balmamion,Italia,Salvarani,431819.0
1970,13,Italo Zilioli,Italia,Faemino–Faema,431886.0
1970,14,Joaquim Agostinho,Portugal,Frimatic–de Gribaldy,431921.0
1970,15,Luis Zubero,España,Kas–Kaskol,432000.0
1970,16,Willy Van Neste,Bélgica,Dr. Mann–Grundig,432066.0
1970,17,Lucien Aimar,Francia,Sonolor–Lejeune,432071.0
1970,18,Wladimiro Panizza,Italia,Salvarani,432171.0
1970,19,Johny Schleck,Luxemburgo,Bic,432248.0
1970,20,Andrés Gandarias,España,Kas–Kaskol,432431.0
1970,21,Jean Dumont,Francia,Peugeot–BP–Michelin,433157.0
1970,22,Bernard Vifian,Suiza,Frimatic–de Gribaldy,433314.0
1970,23,Francisco Gabica,España,Kas–Kaskol,433327.0
1970,24,Roger Swerts,Bélgica,Faemino–Faema,433485.0
1970,25,Aurelio González,España,Kas–Kaskol,433666.0
1970,26,Jan Janssen,Países Bajos,Bic,433698.0
1970,27,Henri Rabaute,Francia,Fagor–Mercier–Hutchinson,433836.0
1970,28,Primo Mori,Italia,Salvarani,433888.0
1970,29,Walter Godefroot,Bélgica,Salvarani,434065.0
1970,30,Jozef Huysmans,Bélgica,Faemino–Faema,434233.0
1970,31,Luis Ocaña,España,Bic,434328.0
1970,32,Evert Dolman,Países Bajos,Willem II–Gazelle,434528.0
1970,33,Bernard Labourdette,Francia,Fagor–Mercier–Hutchinson,434591.0
1970,34,Vicente López Carril,España,Kas–Kaskol,434650.0
1970,35,Bernard Thévenet,Francia,Peugeot–BP–Michelin,434714.0
1970,36,Tomas Pettersson,Suecia,Ferretti,434717.0
1970,37,Rolf Wolfshohl,Alemania,Fagor–Mercier–Hutchinson,434847.0
1970,38,Edy Schütz,Luxemburgo,Molteni,434874.0
1970,39,Guerrino Tosello,Italia,Molteni,434912.0
1970,40,Alain Vasseur,Francia,Bic,434953.0
1970,41,Robert Bouloux,Francia,Peugeot–BP–Michelin,435010.0
1970,42,Pierre Gautier,Francia,Frimatic–de Gribaldy,435023.0
1970,43,Ronald De Witte,Bélgica,Dr. Mann–Grundig,435105.0
1970,44,Jos van der Vleuten,Países Bajos,Willem II–Gazelle,435275.0
1970,45,Harry Steevens,Países Bajos,Caballero–Laurens,435310.0
1970,46,Jozef Spruyt,Bélgica,Faemino–Faema,435499.0
1970,47,Gerard Vianen,Países Bajos,Caballero–Laurens,435533.0
1970,48,Albert Van Vlierberghe,Bélgica,Ferretti,435774.0
1970,49,Giacinto Santambrogio,Italia,Molteni,435942.0
1970,50,Joseph Bruyère,Bélgica,Faemino–Faema,435961.0
1970,51,Walter Ricci,Francia,Sonolor–Lejeune,436068.0
1970,52,Christian Raymond,Francia,Peugeot–BP–Michelin,436096.0
1970,53,Franco Mori,Italia,Molteni,436141.0
1970,54,André Poppe,Bélgica,Dr. Mann–Grundig,436216.0
1970,55,Mario Anni,Italia,Molteni,436238.0
1970,56,José Antonio Gonzalez Linares,España,Kas–Kaskol,436250.0
1970,57,Jos Deschoenmaecker,Bélgica,Dr. Mann–Grundig,436326.0
1970,58,Jean-Pierre Parenteau,Francia,Peugeot–BP–Michelin,436376.0
1970,59,Mogens Frey,Dinamarca,Frimatic–de Gribaldy,436379.0
1970,60,Attilio Benfatto,Italia,Scic,436640.0
1970,61,Maurice Izier,Francia,Frimatic–de Gribaldy,436755.0
1970,62,Cyrille Guimard,Francia,Fagor–Mercier–Hutchinson,436920.0
1970,63,Marino Basso,Italia,Molteni,437064.0
1970,64,Jean-Pierre Danguillaume,Francia,Peugeot–BP–Michelin,437090.0
1970,65,Eddy Reyniers,Bélgica,Dr. Mann–Grundig,437221.0
1970,66,Gabriel Mascaró Febrer,España,Kas–Kaskol,437227.0
1970,67,Daniel Van Rijckeghem,Bélgica,Dr. Mann–Grundig,437313.0
1970,68,Victor Van Schil,Bélgica,Faemino–Faema,437513.0
1970,69,Gérard David,Bélgica,Flandria–Mars,437684.0
1970,70,José Catieau,Francia,Sonolor–Lejeune,438083.0
1970,71,Pietro Guerra,Italia,Salvarani,438116.0
1970,72,Raymond Riotte,Francia,Sonolor–Lejeune,438163.0
1970,73,Giancarlo Polidori,Italia,Scic,438226.0
1970,74,Nemesio Jimenez,España,Kas–Kaskol,438255.0
1970,75,Frans Mintjens,Bélgica,Faemino–Faema,438304.0
1970,76,Pierre Martelozzo,Francia,Peugeot–BP–Michelin,438708.0
1970,77,Roland Berland,Francia,Bic,438737.0
1970,78,Harm Ottenbros,Países Bajos,Willem II–Gazelle,438761.0
1970,79,Michel Perin,Francia,Fagor–Mercier–Hutchinson,438802.0
1970,80,Jan van Katwijk,Países Bajos,Willem II–Gazelle,438835.0
1970,81,Eddy Beugels,Países Bajos,Flandria–Mars,438879.0
1970,82,Jean-Pierre Genet,Francia,Fagor–Mercier–Hutchinson,439091.0
1970,83,Jean-Marie Leblanc,Francia,Bic,439192.0
1970,84,Georges Chappe,Francia,Fagor–Mercier–Hutchinson,439339.0
1970,85,Michel Coulon,Bélgica,Flandria–Mars,439404.0
1970,86,Cees Zoontjens,Países Bajos,Caballero–Laurens,439455.0
1970,87,Etienne Antheunis,Bélgica,Faemino–Faema,439494.0
1970,88,Pieter Nassen,Bélgica,Flandria–Mars,439506.0
1970,89,Willy In' t Ven,Bélgica,Dr. Mann–Grundig,433856.0
1970,90,Domingo Perurena,España,Fagor–Mercier–Hutchinson,440026.0
1970,91,Marc Lievens,Bélgica,Flandria–Mars,440201.0
1970,92,Cees Rentmeester,Países Bajos,Caballero–Laurens,440336.0
1970,93,Romano Tumellero,Italia,Ferretti,440549.0
1970,94,René De Bie,Bélgica,Dr. Mann–Grundig,441039.0
1970,95,Sylvain Vasseur,Francia,Bic,441230.0
1970,96,Luciano Dalla Bona,Italia,Salvarani,442305.0
1970,97,Pierre Ghisellini,Francia,Frimatic–de Gribaldy,442418.0
1970,98,Jaak De Boever,Bélgica,Flandria–Mars,442433.0
1970,99,Adriano Durante,Italia,Scic,442896.0
1970,100,Frits Hoogerheide,Países Bajos,Willem II–Gazelle,444241.0
1971,1,Eddy Merckx,Bélgica,Molteni,348314.0
1971,2,Joop Zoetemelk,Países Bajos,Flandria–Mars,348905.0
1971,3,Lucien Van Impe,Bélgica,Sonolor–Lejeune,348980.0
1971,4,Bernard Thévenet,Francia,Peugeot–BP–Michelin,349204.0
1971,5,Joaquim Agostinho,Portugal,Hoover–de Gribaldy–Wolber,349574.0
1971,6,Leif Mortensen,Dinamarca,Bic,349612.0
1971,7,Cyrille Guimard,Francia,Fagor–Mercier–Hutchinson,349692.0
1971,8,Bernard Labourdette,Francia,Bic,350121.0
1971,9,Lucien Aimar,Francia,Sonolor–Lejeune,350279.0
1971,10,Vicente López Carril,España,Kas–Kaskol,350474.0
1971,11,Francisco Galdós,España,Kas–Kaskol,350833.0
1971,12,Primo Mori,Italia,Salvarani,351178.0
1971,13,Antonio Martos,España,Werner,351207.0
1971,14,Herman Van Springel,Bélgica,Molteni,351214.0
1971,15,Agustín Tamames,España,Werner,351273.0
1971,16,Rini Wagtmans,Países Bajos,Molteni,351484.0
1971,17,Désiré Letort,Francia,Bic,351787.0
1971,18,Jean-Pierre Danguillaume,Francia,Peugeot–BP–Michelin,351864.0
1971,19,Mauro Simonetti,Italia,Ferretti,352100.0
1971,20,Jean Dumont,Francia,Peugeot–BP–Michelin,352143.0
1971,21,Victor Van Schil,Bélgica,Molteni,352422.0
1971,22,Johny Schleck,Luxemburgo,Bic,352489.0
1971,23,Michel Périn,Francia,Fagor–Mercier–Hutchinson,352533.0
1971,24,Luis Santamarina,España,Werner,352542.0
1971,25,Ottavio Crepaldi,Italia,Salvarani,352634.0
1971,26,Jean-Pierre Genet,Francia,Fagor–Mercier–Hutchinson,352806.0
1971,27,Jos Huysmans,Bélgica,Molteni,352855.0
1971,28,Bernard Guyot,Francia,Sonolor–Lejeune,352915.0
1971,29,Albert Van Vlierberghe,Bélgica,Ferretti,352981.0
1971,30,Jos van der Vleuten,Países Bajos,Goudsmit–Hoff,352982.0
1971,31,Mariano Martinez,Francia,Hoover–de Gribaldy–Wolber,353085.0
1971,32,Christian Raymond,Francia,Peugeot–BP–Michelin,353318.0
1971,33,Ventura Díaz,España,Werner,353444.0
1971,34,Raymond Riotte,Francia,Sonolor–Lejeune,353487.0
1971,35,Roger Swerts,Bélgica,Molteni,353586.0
1971,36,Francis Ducreux,Francia,Bic,353635.0
1971,37,Roland Berland,Francia,Bic,353771.0
1971,38,Gabriel Mascaró Febrer,España,Kas–Kaskol,353902.0
1971,39,Jean-Claude Genty,Francia,Bic,353951.0
1971,40,Barry Hoban,Reino Unido,Sonolor–Lejeune,353953.0
1971,41,Robert Bouloux,Francia,Peugeot–BP–Michelin,354033.0
1971,42,Georges Vandenberghe,Bélgica,Salvarani,354056.0
1971,43,José Catieau,Francia,Sonolor–Lejeune,354086.0
1971,44,Jozef Spruyt,Bélgica,Molteni,354110.0
1971,45,Luis Balagué,España,Werner,354149.0
1971,46,Jean-Claude Daunat,Francia,Hoover–de Gribaldy–Wolber,354232.0
1971,47,Kurt Rub,Suiza,Hoover–de Gribaldy–Wolber,354355.0
1971,48,Charly Grosskost,Francia,Bic,354400.0
1971,49,José Luis Uribezubia,España,Kas–Kaskol,354439.0
1971,50,Jan Krekels,Países Bajos,Goudsmit–Hoff,354481.0
1971,51,Jean Vidament,Francia,Hoover–de Gribaldy–Wolber,354531.0
1971,52,José Manuel López Rodríguez,España,Werner,354551.0
1971,53,Jesús Manzaneque,España,Kas–Kaskol,354568.0
1971,54,Jean-Jacques Sanquer,Francia,Sonolor–Lejeune,354589.0
1971,55,Edy Schütz,Luxemburgo,Flandria–Mars,354605.0
1971,56,François Cocquery,Francia,Fagor–Mercier–Hutchinson,354679.0
1971,57,Frans Mintjens,Bélgica,Molteni,354753.0
1971,58,Ferdinand Bracke,Bélgica,Peugeot–BP–Michelin,354774.0
1971,59,Wim Prinsen,Países Bajos,Goudsmit–Hoff,354880.0
1971,60,Joseph Bruyère,Bélgica,Molteni,354889.0
1971,61,Nemesio Jiménez,España,Kas–Kaskol,354900.0
1971,62,Erik De Vlaeminck,Bélgica,Flandria–Mars,354923.0
1971,63,Gerben Karstens,Países Bajos,Goudsmit–Hoff,355025.0
1971,64,Wilmo Francioni,Italia,Ferretti,355048.0
1971,65,Alain Vasseur,Francia,Bic,355346.0
1971,66,Luciano Armani,Italia,Scic,355408.0
1971,67,Francisco Julia,España,Werner,355512.0
1971,68,Pietro Guerra,Italia,Salvarani,355668.0
1971,69,Yves Ravaleu,Francia,Hoover–de Gribaldy–Wolber,355760.0
1971,70,Willy Van Neste,Bélgica,Flandria–Mars,355824.0
1971,71,Rolf Wolfshohl,Alemania,Fagor–Mercier–Hutchinson,355850.0
1971,72,José Manuel Fuente,España,Kas–Kaskol,355861.0
1971,73,Francisco Javier Galdeano,España,Kas–Kaskol,355895.0
1971,74,Willy Teirlinck,Bélgica,Sonolor–Lejeune,356001.0
1971,75,Edouard Janssens,Bélgica,Flandria–Mars,356032.0
1971,76,Mathijs De Koning,Países Bajos,Goudsmit–Hoff,356042.0
1971,77,Raymond Delisle,Francia,Peugeot–BP–Michelin,356078.0
1971,78,Adriano Pella,Italia,Scic,356312.0
1971,79,Pierre Ghisellini,Italia,Hoover–de Gribaldy–Wolber,356346.0
1971,80,Henk Benjamins,Países Bajos,Goudsmit–Hoff,356400.0
1971,81,René Grelin,Francia,Fagor–Mercier–Hutchinson,356608.0
1971,82,Gert Harings,Países Bajos,Goudsmit–Hoff,357026.0
1971,83,Celestino Vercelli,Italia,Scic,357280.0
1971,84,Robert Mintkiewicz,Francia,Sonolor–Lejeune,357654.0
1971,85,Sandro Quintarelli,Italia,Ferretti,357693.0
1971,86,Silvano Davo,Italia,Salvarani,357785.0
1971,87,Jan van Katwijk,Países Bajos,Goudsmit–Hoff,358011.0
1971,88,Eddy Peelman,Bélgica,Fagor–Mercier–Hutchinson,358024.0
1971,89,Pierre Martelozzo,Italia,Peugeot–BP–Michelin,358259.0
1971,90,Julien Stevens,Bélgica,Molteni,358355.0
1971,91,Eric Leman,Bélgica,Flandria–Mars,358612.0
1971,92,Roberto Ballini,Italia,Ferretti,358660.0
1971,93,Pieter Nassen,Bélgica,Flandria–Mars,358982.0
1971,94,Georges Chappe,Francia,Fagor–Mercier–Hutchinson,359408.0
1972,1,Eddy Merckx,Bélgica,Molteni,389838.0
1972,2,Felice Gimondi,Italia,Salvarani,390479.0
1972,3,Raymond Poulidor,Francia,Gan–Mercier–Hutchinson,390532.0
1972,4,Lucien Van Impe,Bélgica,Sonolor–Lejeune,390843.0
1972,5,Joop Zoetemelk,Países Bajos,Beaulieu–Flandria,390987.0
1972,6,Mariano Martinez,Francia,Van Cauter–Magniflex–de Gribaldy,391129.0
1972,7,Yves Hézard,Francia,Sonolor–Lejeune,391150.0
1972,8,Joaquim Agostinho,Portugal,Van Cauter–Magniflex–de Gribaldy,391894.0
1972,9,Bernard Thévenet,Francia,Peugeot–BP–Michelin,392069.0
1972,10,Ward Janssens,Bélgica,Van Cauter–Magniflex–de Gribaldy,392391.0
1972,11,Raymond Delisle,Francia,Peugeot–BP–Michelin,392625.0
1972,12,Leif Mortensen,Dinamarca,Bic,392637.0
1972,13,Antoon Houbrechts,Bélgica,Salvarani,392695.0
1972,14,Roger Swerts,Bélgica,Molteni,392802.0
1972,15,Martin Vandenbossche,Bélgica,Molteni,393407.0
1972,16,Frans Verbeeck,Bélgica,Watney–Avia,393447.0
1972,17,Lucien Aimar,Francia,Rokado–Colders,393659.0
1972,18,Tino Tabak,Países Bajos,Goudsmit–Hoff,393747.0
1972,19,Michel Périn,Francia,Gan–Mercier–Hutchinson,393817.0
1972,20,Karl-Heinz Kunde,Alemania,Rokado–Colders,394047.0
1972,21,Jean-Pierre Danguillaume,Francia,Peugeot–BP–Michelin,394329.0
1972,22,Jos Deschoenmaecker,Bélgica,Molteni,394726.0
1972,23,Herman Beysens,Bélgica,Van Cauter–Magniflex–de Gribaldy,394869.0
1972,24,Rolf Wolfshohl,Alemania,Rokado–Colders,394937.0
1972,25,Mathieu Pustjens,Países Bajos,Sonolor–Lejeune,395031.0
1972,26,Joseph Bruyère,Bélgica,Molteni,395078.0
1972,27,Walter Ricci,Francia,Sonolor–Lejeune,395250.0
1972,28,Joseph Huysmans,Bélgica,Molteni,395327.0
1972,29,Guy Santy,Francia,Bic,395333.0
1972,30,Johny Schleck,Luxemburgo,Bic,395364.0
1972,31,Ronald De Witte,Bélgica,Peugeot–BP–Michelin,395500.0
1972,32,Joël Millard,Francia,Van Cauter–Magniflex–de Gribaldy,395686.0
1972,33,Willy Vanneste,Bélgica,Beaulieu–Flandria,395789.0
1972,34,Gilbert Bellone,Francia,Rokado–Colders,395817.0
1972,35,Sylvain Vasseur,Francia,Bic,395911.0
1972,36,Gérard Moneyron,Francia,Gan–Mercier–Hutchinson,395944.0
1972,37,Frans Mintjens,Bélgica,Molteni,396013.0
1972,38,Jean-Pierre Parenteau,Francia,Peugeot–BP–Michelin,396098.0
1972,39,Primo Mori,Italia,Salvarani,396132.0
1972,40,Roland Berland,Francia,Bic,396189.0
1972,41,Wilfried David,Bélgica,Peugeot–BP–Michelin,396371.0
1972,42,Dieter Puschel,Alemania,Rokado–Colders,396450.0
1972,43,Marc Lievens,Bélgica,Molteni,396482.0
1972,44,Walter Godefroot,Bélgica,Peugeot–BP–Michelin,396674.0
1972,45,Jurgen Tschan,Alemania,Peugeot–BP–Michelin,396798.0
1972,46,Jean-Claude Largeau,Francia,Van Cauter–Magniflex–de Gribaldy,397019.0
1972,47,Christian Raymond,Francia,Peugeot–BP–Michelin,397098.0
1972,48,Raymond Riotte,Francia,Sonolor–Lejeune,397123.0
1972,49,Ludo Van Staeyen,Bélgica,Van Cauter–Magniflex–de Gribaldy,397199.0
1972,50,Georges Chappe,Francia,Gitane,397202.0
1972,51,Willy In' t Ven,Bélgica,Molteni,397229.0
1972,52,Karl-Heinz Muddemann,Alemania,Rokado–Colders,397282.0
1972,53,Giacinto Santambrogio,Italia,Salvarani,397285.0
1972,54,Marinus Wagtmans,Países Bajos,Goudsmit–Hoff,397323.0
1972,55,Michael Wright,Reino Unido,Gitane,397549.0
1972,56,Jesus Aranzabal,España,Bic,397682.0
1972,57,René Grenier,Francia,Gitane,397727.0
1972,58,Jacky Mourioux,Francia,Gan–Mercier–Hutchinson,397735.0
1972,59,Gérard David,Bélgica,Beaulieu–Flandria,397751.0
1972,60,Gerben Karstens,Países Bajos,Rokado–Colders,397798.0
1972,61,Wim Prinsen,Países Bajos,Goudsmit–Hoff,397934.0
1972,62,Ronny Van Marcke,Bélgica,Beaulieu–Flandria,398032.0
1972,63,Wilfried Peffgen,Alemania,Rokado–Colders,398047.0
1972,64,Jean-Claude Genty,Francia,Bic,398051.0
1972,65,Willy Abbeloos,Bélgica,Van Cauter–Magniflex–de Gribaldy,398140.0
1972,66,Willy Teirlinck,Bélgica,Sonolor–Lejeune,398357.0
1972,67,Eddy Verstraeten,Bélgica,Watney–Avia,398415.0
1972,68,Marc Sohet,Bélgica,Watney–Avia,398618.0
1972,69,Paul Aerts,Bélgica,Watney–Avia,398697.0
1972,70,Barry Hoban,Reino Unido,Gan–Mercier–Hutchinson,398738.0
1972,71,Gerard Vianen,Países Bajos,Goudsmit–Hoff,398745.0
1972,72,Jean-Claude Daunat,Francia,Gitane,398844.0
1972,73,Jos van der Vleuten,Países Bajos,Goudsmit–Hoff,398879.0
1972,74,Pietro Campagnari,Italia,Salvarani,398940.0
1972,75,Pierre Matignon,Francia,Gitane,399028.0
1972,76,Régis Delépine,Francia,Gan–Mercier–Hutchinson,399230.0
1972,77,Noël Vanclooster,Bélgica,Watney–Avia,399342.0
1972,78,Jan Krekels,Países Bajos,Goudsmit–Hoff,399377.0
1972,79,Pieter Nassen,Bélgica,Watney–Avia,399490.0
1972,80,Rik Van Linden,Bélgica,Van Cauter–Magniflex–de Gribaldy,399522.0
1972,81,Bernard Guyot,Francia,Sonolor–Lejeune,399527.0
1972,82,Marino Basso,Italia,Salvarani,399848.0
1972,83,Evert Dolman,Países Bajos,Beaulieu–Flandria,399954.0
1972,84,Léon-Paul Ménard,Francia,Gitane,399959.0
1972,85,Luigi Castelletti,Italia,Salvarani,400050.0
1972,86,Pietro Guerra,Italia,Salvarani,400315.0
1972,87,Robert Mintkiewicz,Francia,Sonolor–Lejeune,401097.0
1972,88,Alain Bellouis,Francia,Gitane,404451.0
1973,1,Luis Ocaña,España,Bic,440734.0
1973,2,Bernard Thévenet,Francia,Peugeot–BP–Michelin,441685.0
1973,3,José Manuel Fuente,España,Kas–Kaskol,441769.0
1973,4,Joop Zoetemelk,Países Bajos,Gitane–Frigécrème,442316.0
1973,5,Lucien Van Impe,Bélgica,Sonolor,442554.0
1973,6,Herman Van Springel,Bélgica,Rokado–De Gribaldy,442655.0
1973,7,Michel Périn,Francia,Gan–Mercier–Hutchinson,442716.0
1973,8,Joaquim Agostinho,Portugal,Bic,442885.0
1973,9,Vicente López Carril,España,Kas–Kaskol,442912.0
1973,10,Régis Ovion,Francia,Peugeot–BP–Michelin,442953.0
1973,11,Raymond Delisle,Francia,Peugeot–BP–Michelin,442997.0
1973,12,Mariano Martínez,Francia,Gan–Mercier–Hutchinson,443183.0
1973,13,Pedro Torres,España,La Casera–Peña Bahamontes,443584.0
1973,14,José Catieau,Francia,Bic,443686.0
1973,15,Antonio Martos,España,Kas–Kaskol,443694.0
1973,16,Antoon Houbrechts,Bélgica,Rokado–De Gribaldy,443712.0
1973,17,Lucien Aimar,Francia,De Kova–Lejeune,443728.0
1973,18,Fernando Mendes,Portugal,Flandria–Carpenter–Shimano,443816.0
1973,19,Leif Mortensen,Dinamarca,Bic,443872.0
